,10_game_avg,50_game_avg,ha,result,streak
2010-01-30Rutgers,-0.6,-0.375,1.0,1.0,-8.0
2010-01-30SE_Missouri,0.0,0.0,0.0,-1.0,1.0
2010-01-30S_Alabama,-0.2,-0.3684210526315789,0.0,1.0,-3.0
2010-01-30S_Carolina,-0.2,-0.058823529411764705,1.0,-1.0,2.0
2010-01-30S_Methodist,-0.2,-0.2727272727272727,1.0,1.0,3.0
2010-01-30S_Mississippi,0.2,0.42857142857142855,0.0,1.0,4.0
2010-01-30S_Utah,-1.0,-1.0,1.0,1.0,-2.0
2010-01-30Sac_State,0.4,0.47368421052631576,0.0,1.0,-1.0
2010-01-30Saint_Louis,0.2,0.07692307692307693,0.0,-1.0,-1.0
2010-01-30Samford,-0.6,-0.25,1.0,-1.0,-2.0
2010-01-30San_Diego,-0.4,-0.15789473684210525,0.0,1.0,-5.0
2010-01-30San_Diego_St,-0.2,0.0,0.0,1.0,-1.0
2010-01-30San_Fransco,0.0,-0.3333333333333333,1.0,1.0,-3.0
2010-01-30San_Jose_St,0.6,0.29411764705882354,0.0,-1.0,5.0
2010-01-30Santa_Clara,-0.2,-0.1111111111111111,1.0,-1.0,2.0
2010-01-30Siena,0.2,0.2,0.0,-1.0,2.0
2010-01-30St_Bonavent,0.0,0.3333333333333333,1.0,-1.0,2.0
2010-01-30St_Marys,0.2,0.5,0.0,1.0,2.0
2010-01-30Stanford,-0.2,-0.17647058823529413,0.0,-1.0,-1.0
2010-01-30Syracuse,0.4,0.5,0.0,-1.0,1.0
2010-01-30TN_Martin,-1.0,-0.8666666666666667,1.0,-1.0,-13.0
2010-01-30TN_Tech,0.4,0.06666666666666667,1.0,1.0,3.0
2010-01-30TX_Christian,-0.6,-0.4117647058823529,1.0,-1.0,-2.0
2010-01-30TX_El_Paso,-0.4,-0.2,0.0,1.0,-1.0
2010-01-30Temple,-0.2,0.14285714285714285,1.0,1.0,-2.0
2010-01-30Texas,-0.4,0.0,1.0,-1.0,-7.0
2010-01-30Texas_A&M,-0.4,0.0,1.0,1.0,-3.0
2010-01-30Texas_Tech,0.2,0.2857142857142857,0.0,-1.0,3.0
2010-01-30Toledo,-0.6,-0.4117647058823529,0.0,1.0,-2.0
2010-01-30Towson,-0.2,-0.125,0.0,1.0,-3.0
2010-01-30Troy,-0.2,-0.2222222222222222,1.0,-1.0,1.0
2010-01-30Tulane,0.2,0.2,1.0,-1.0,1.0
2010-01-30Tulsa,-0.2,-0.125,0.0,-1.0,-2.0
2010-01-30UAB,0.0,0.1111111111111111,1.0,-1.0,2.0
2010-01-30UCLA,0.0,0.0,0.0,1.0,-1.0
2010-01-30UCSB,0.6,0.29411764705882354,0.0,-1.0,3.0
2010-01-30UC_Davis,0.4,0.14285714285714285,0.0,-1.0,1.0
2010-01-30UC_Irvine,-0.4,-0.29411764705882354,0.0,1.0,-2.0
2010-01-30UC_Riverside,-0.2,-0.2,1.0,-1.0,-1.0
2010-01-30USC,0.4,0.0,0.0,-1.0,-1.0
2010-01-30U_Mass,0.2,-0.2,1.0,-1.0,1.0
2010-01-30U_Penn,-0.8,-0.8,0.0,1.0,-3.0
2010-01-30Utah,-0.2,-0.17647058823529413,0.0,1.0,-1.0
2010-01-30Utah_State,0.2,0.17647058823529413,1.0,1.0,5.0
2010-01-30VCU,0.0,-0.058823529411764705,1.0,-1.0,1.0
2010-01-30Vanderbilt,0.4,0.25,0.0,-1.0,1.0
2010-01-30W_Carolina,-0.2,0.06666666666666667,0.0,1.0,-1.0
2010-01-30W_Kentucky,-0.2,-0.3,1.0,1.0,-1.0
2010-01-30W_Michigan,0.0,-0.06666666666666667,0.0,1.0,-1.0
2010-01-30W_Virginia,-0.2,-0.2222222222222222,1.0,-1.0,-1.0
2010-01-30Wash_State,-0.4,-0.29411764705882354,0.0,-1.0,-1.0
2010-01-30Washington,-0.4,-0.47368421052631576,1.0,1.0,-2.0
2010-01-30Wm_&_Mary,-0.2,0.25,1.0,-1.0,-1.0
2010-01-30Wofford,0.2,0.29411764705882354,1.0,-1.0,1.0
2010-01-30Wright_State,-0.2,0.0,1.0,1.0,2.0
2010-01-30Wyoming,0.4,0.42857142857142855,0.0,-1.0,5.0
2010-01-30Yale,0.4,0.4,1.0,-1.0,2.0
2010-01-30Youngs_St,-0.2,-0.23076923076923078,0.0,1.0,-3.0
2010-01-31Arizona,0.2,0.1111111111111111,1.0,1.0,3.0
2010-01-31Arkansas,0.2,-0.07692307692307693,0.0,1.0,1.0
2010-01-31Austin_Peay,0.0,0.1,1.0,1.0,2.0
2010-01-31Ball_State,0.2,0.06666666666666667,0.0,1.0,5.0
2010-01-31Butler,0.0,-0.14285714285714285,0.0,-1.0,2.0
2010-01-31California,0.2,0.1111111111111111,0.0,-1.0,1.0
2010-01-31Clemson,0.0,0.0,1.0,1.0,-4.0
2010-01-31Drexel,0.2,0.14285714285714285,0.0,1.0,3.0
2010-01-31Duquesne,-0.4,-0.38461538461538464,1.0,-1.0,-2.0
2010-01-31E_Kentucky,-0.4,-0.1111111111111111,0.0,1.0,-4.0
2010-01-31Evansville,-0.4,-0.058823529411764705,1.0,-1.0,2.0
2010-01-31Florida,-0.2,0.06666666666666667,0.0,1.0,1.0
2010-01-31Fordham,0.2,0.2,0.0,-1.0,2.0
2010-01-31Indiana_St,0.0,0.0,0.0,1.0,1.0
2010-01-31Loyola-MD,0.0,0.0,1.0,-1.0,-1.0
2010-01-31Manhattan,-0.2,-0.058823529411764705,0.0,-1.0,1.0
2010-01-31Maryland,0.2,0.14285714285714285,0.0,-1.0,6.0
2010-01-31Miami_(FL),0.0,0.0,1.0,1.0,-5.0
2010-01-31Minnesota,-0.2,-0.05263157894736842,0.0,-1.0,-4.0
2010-01-31Mississippi,0.4,0.375,1.0,-1.0,4.0
2010-01-31Montana_St,0.0,0.0,0.0,1.0,-1.0
2010-01-31Morehead_St,0.6,0.375,0.0,-1.0,6.0
2010-01-31N_Carolina,-0.4,-0.17647058823529413,1.0,-1.0,1.0
2010-01-31N_Colorado,0.0,0.1111111111111111,1.0,-1.0,-5.0
2010-01-31Niagara,-0.6,-0.36363636363636365,0.0,1.0,-3.0
2010-01-31Ohio,-0.2,-0.06666666666666667,1.0,-1.0,2.0
2010-01-31Ohio_State,-0.2,-0.1,1.0,1.0,-2.0
2010-01-31Penn_State,-0.2,-0.17647058823529413,0.0,-1.0,-1.0
2010-01-31Pittsburgh,0.6,0.25,0.0,-1.0,2.0
2010-01-31Purdue,-0.4,-0.15789473684210525,1.0,1.0,-2.0
2010-01-31S_Florida,0.4,0.3684210526315789,1.0,1.0,4.0
2010-01-31S_Illinois,-0.4,-0.3333333333333333,1.0,1.0,-4.0
2010-01-31St_Josephs,-0.4,-0.29411764705882354,0.0,1.0,-1.0
2010-01-31St_Peters,0.2,0.2,1.0,1.0,-1.0
2010-01-31TN_State,0.2,0.0,1.0,-1.0,-3.0
2010-01-31Tennessee,0.0,0.06666666666666667,1.0,-1.0,-2.0
2010-01-31VA_Tech,0.4,0.07692307692307693,0.0,-1.0,1.0
2010-01-31Valparaiso,0.4,0.29411764705882354,0.0,1.0,4.0
2010-01-31Virginia,0.2,0.07692307692307693,0.0,1.0,-3.0
2010-01-31WI-Grn_Bay,-0.4,-0.17647058823529413,1.0,-1.0,-1.0
2010-01-31WI-Milwkee,0.4,0.17647058823529413,1.0,1.0,-1.0
2010-01-31Wichita_St,0.4,0.2857142857142857,0.0,-1.0,1.0
2010-01-31Wm_&_Mary,-0.2,0.25,1.0,-1.0,-1.0
2010-01-31Xavier,0.2,0.2631578947368421,1.0,1.0,2.0
2010-02-01Akron,0.2,0.058823529411764705,1.0,-1.0,-1.0
2010-02-01Alabama_St,1.0,1.0,1.0,-1.0,2.0
2010-02-01Bowling_Grn,0.0,-0.058823529411764705,1.0,-1.0,-1.0
2010-02-01Buffalo,0.2,0.14285714285714285,1.0,-1.0,1.0
2010-02-01Canisius,0.6,0.3,0.0,-1.0,1.0
2010-02-01Connecticut,0.2,-0.2222222222222222,0.0,-1.0,-2.0
2010-02-01E_Michigan,-0.4,-0.25,0.0,1.0,-5.0
2010-02-01Iona,0.4,0.25,1.0,1.0,-1.0
2010-02-01Kent_State,0.0,-0.058823529411764705,1.0,1.0,-1.0
2010-02-01Louisville,-0.4,-0.25,1.0,1.0,1.0
2010-02-01N_Illinois,-0.2,-0.125,0.0,-1.0,-4.0
2010-02-01Oklahoma_St,0.2,0.3333333333333333,1.0,-1.0,-1.0
2010-02-01Prairie_View,-1.0,-1.0,0.0,1.0,-1.0
2010-02-01S_Car_State,1.0,1.0,0.0,1.0,2.0
2010-02-01Texas,-0.6,-0.058823529411764705,0.0,1.0,-8.0
2010-02-01Toledo,-0.4,-0.3333333333333333,0.0,1.0,1.0
2010-02-01W_Michigan,0.2,0.0,0.0,1.0,1.0
2010-02-02Air_Force,0.2,0.14285714285714285,0.0,-1.0,2.0
2010-02-02BYU,0.2,0.1,1.0,1.0,-2.0
2010-02-02Bradley,-0.2,-0.2,1.0,-1.0,-3.0
2010-02-02Central_FL,-0.2,0.058823529411764705,0.0,1.0,1.0
2010-02-02Delaware,0.6,0.25,1.0,-1.0,3.0
2010-02-02Drake,0.4,0.29411764705882354,0.0,1.0,1.0
2010-02-02Drexel,0.2,0.18181818181818182,1.0,1.0,4.0
2010-02-02E_Carolina,0.0,0.125,1.0,-1.0,-1.0
2010-02-02Jksnville_St,0.0,0.125,0.0,-1.0,1.0
2010-02-02Kansas_St,0.6,0.4666666666666667,0.0,1.0,2.0
2010-02-02Kentucky,0.2,0.05263157894736842,1.0,-1.0,1.0
2010-02-02La_Salle,-0.4,-0.375,1.0,-1.0,-3.0
2010-02-02Miami_(FL),0.0,0.07692307692307693,0.0,-1.0,1.0
2010-02-02Michigan,0.6,0.17647058823529413,0.0,-1.0,6.0
2010-02-02Michigan_St,0.0,-0.23809523809523808,0.0,-1.0,-2.0
2010-02-02Mississippi,0.2,0.29411764705882354,0.0,1.0,-1.0
2010-02-02Nebraska,-0.4,-0.3333333333333333,1.0,-1.0,1.0
2010-02-02Northeastrn,0.6,0.3333333333333333,0.0,1.0,1.0
2010-02-02Northwestern,0.4,0.4117647058823529,1.0,1.0,3.0
2010-02-02Providence,0.0,-0.058823529411764705,0.0,-1.0,2.0
2010-02-02Rhode_Island,-0.2,0.0,0.0,1.0,-1.0
2010-02-02Rutgers,-0.6,-0.29411764705882354,1.0,1.0,1.0
2010-02-02S_Methodist,0.0,-0.16666666666666666,0.0,1.0,4.0
2010-02-02S_Mississippi,0.2,0.4666666666666667,1.0,-1.0,5.0
2010-02-02San_Diego_St,-0.2,0.05263157894736842,1.0,1.0,1.0
2010-02-02Seton_Hall,-0.6,-0.38461538461538464,0.0,1.0,-2.0
2010-02-02St_Johns,0.0,0.058823529411764705,0.0,-1.0,-3.0
2010-02-02Syracuse,0.4,0.4117647058823529,1.0,1.0,-1.0
2010-02-02TN_State,0.0,-0.05263157894736842,1.0,1.0,-4.0
2010-02-02TX_Christian,-0.6,-0.4444444444444444,0.0,-1.0,-3.0
2010-02-02Towson,0.0,-0.058823529411764705,0.0,-1.0,1.0
2010-02-02Villanova,0.8,0.5789473684210527,1.0,-1.0,5.0
2010-02-02Wake_Forest,-0.2,0.0,1.0,1.0,-1.0
2010-02-02Wisconsin,0.2,0.15789473684210525,1.0,1.0,1.0
2010-02-03Akron,0.0,0.0,1.0,-1.0,-2.0
2010-02-03Arkansas,0.4,0.0,0.0,1.0,2.0
2010-02-03Baylor,0.6,0.5384615384615384,1.0,1.0,1.0
2010-02-03Charlotte,-0.2,0.0,1.0,-1.0,4.0
2010-02-03Colorado,0.2,0.06666666666666667,1.0,1.0,3.0
2010-02-03Colorado_St,-0.2,0.05263157894736842,0.0,1.0,-1.0
2010-02-03Creighton,-0.2,-0.2631578947368421,1.0,1.0,-1.0
2010-02-03DePaul,0.0,0.125,0.0,1.0,4.0
2010-02-03Duquesne,-0.4,-0.42857142857142855,0.0,-1.0,-3.0
2010-02-03Elon,0.0,-0.29411764705882354,0.0,1.0,-1.0
2010-02-03Evansville,-0.4,-0.1111111111111111,0.0,-1.0,-1.0
2010-02-03Geo_Mason,0.0,0.0,0.0,-1.0,-2.0
2010-02-03Geo_Wshgtn,-0.2,-0.06666666666666667,0.0,1.0,2.0
2010-02-03Georgetown,0.0,0.125,1.0,-1.0,1.0
2010-02-03Georgia,0.6,0.1111111111111111,1.0,-1.0,1.0
2010-02-03Georgia_St,0.0,0.05263157894736842,1.0,1.0,1.0
2010-02-03Hofstra,0.0,-0.14285714285714285,0.0,1.0,-1.0
2010-02-03Houston,0.0,-0.125,0.0,1.0,1.0
2010-02-03Idaho,-0.4,-0.2,0.0,-1.0,1.0
2010-02-03Illinois,-0.4,-0.4,0.0,1.0,-1.0
2010-02-03Illinois_St,0.2,-0.1111111111111111,0.0,-1.0,1.0
2010-02-03Indiana_St,0.2,0.05263157894736842,1.0,1.0,2.0
2010-02-03Iowa,0.0,-0.3333333333333333,1.0,-1.0,-1.0
2010-02-03Iowa_State,-0.2,-0.1111111111111111,0.0,-1.0,-4.0
2010-02-03James_Mad,0.0,-0.17647058823529413,1.0,-1.0,3.0
2010-02-03Kansas,0.0,0.058823529411764705,0.0,-1.0,-1.0
2010-02-03Marquette,0.4,0.3333333333333333,1.0,-1.0,3.0
2010-02-03Marshall,0.2,0.2,0.0,1.0,-3.0
2010-02-03Memphis,-0.6,-0.375,1.0,1.0,-1.0
2010-02-03Miss_State,0.0,0.125,0.0,1.0,1.0
2010-02-03Missouri,0.4,0.2,1.0,-1.0,1.0
2010-02-03Missouri_St,-0.4,0.047619047619047616,0.0,-1.0,1.0
2010-02-03NC-Wilmgton,-0.4,-0.2,1.0,-1.0,-4.0
2010-02-03NC_State,0.2,0.1111111111111111,0.0,-1.0,-2.0
2010-02-03N_Illinois,-0.2,-0.17647058823529413,0.0,1.0,-5.0
2010-02-03N_Iowa,0.4,0.4,1.0,-1.0,-1.0
2010-02-03Ohio_State,0.0,-0.047619047619047616,1.0,-1.0,1.0
2010-02-03Old_Dominion,-0.2,-0.3333333333333333,1.0,1.0,-3.0
2010-02-03Penn_State,-0.2,-0.2222222222222222,0.0,1.0,-2.0
2010-02-03Pittsburgh,0.6,0.17647058823529413,0.0,-1.0,-1.0
2010-02-03Rice,0.0,-0.2222222222222222,1.0,-1.0,2.0
2010-02-03Richmond,0.0,0.1111111111111111,0.0,1.0,2.0
2010-02-03S_Florida,0.4,0.4,0.0,1.0,5.0
2010-02-03S_Illinois,-0.4,-0.2631578947368421,1.0,1.0,1.0
2010-02-03Saint_Louis,0.2,0.0,1.0,-1.0,-2.0
2010-02-03St_Bonavent,0.0,0.25,0.0,1.0,-1.0
2010-02-03St_Josephs,-0.2,-0.2222222222222222,1.0,-1.0,1.0
2010-02-03TX_El_Paso,-0.4,-0.125,1.0,-1.0,1.0
2010-02-03Temple,-0.2,0.18181818181818182,1.0,1.0,1.0
2010-02-03Texas_A&M,-0.2,0.058823529411764705,0.0,1.0,1.0
2010-02-03Tulane,0.2,0.125,0.0,1.0,-1.0
2010-02-03Tulsa,-0.2,-0.17647058823529413,1.0,-1.0,-3.0
2010-02-03UAB,-0.2,0.05263157894736842,0.0,-1.0,-1.0
2010-02-03UNLV,0.4,0.3333333333333333,0.0,1.0,-1.0
2010-02-03U_Mass,0.0,-0.25,1.0,-1.0,-1.0
2010-02-03Utah,0.0,-0.1111111111111111,1.0,-1.0,1.0
2010-02-03Utah_State,0.4,0.2222222222222222,1.0,1.0,6.0
2010-02-03VCU,0.0,-0.058823529411764705,0.0,1.0,1.0
2010-02-03Vanderbilt,0.4,0.17647058823529413,1.0,-1.0,-1.0
2010-02-03Virginia,0.2,0.14285714285714285,1.0,1.0,1.0
2010-02-03W_Virginia,-0.4,-0.2631578947368421,1.0,1.0,-2.0
2010-02-03Wichita_St,0.4,0.2,0.0,1.0,-1.0
2010-02-03Wm_&_Mary,-0.4,0.17647058823529413,0.0,-1.0,-2.0
2010-02-03Wofford,0.0,0.2222222222222222,1.0,-1.0,-1.0
2010-02-03Wyoming,0.2,0.3333333333333333,1.0,-1.0,-1.0
2010-02-03Xavier,0.4,0.3,0.0,1.0,3.0
2010-02-04AR_Lit_Rock,-0.4,-0.29411764705882354,1.0,-1.0,1.0
2010-02-04Alabama,0.0,0.058823529411764705,1.0,-1.0,2.0
2010-02-04Arizona,0.4,0.15789473684210525,0.0,1.0,4.0
2010-02-04Arizona_St,0.2,-0.1111111111111111,0.0,1.0,1.0
2010-02-04Arkansas_St,0.6,0.375,0.0,1.0,1.0
2010-02-04Austin_Peay,0.2,0.14285714285714285,0.0,-1.0,3.0
2010-02-04Ball_State,0.4,0.125,1.0,1.0,6.0
2010-02-04Bowling_Grn,0.0,-0.1111111111111111,0.0,-1.0,-2.0
2010-02-04Buffalo,0.0,0.06666666666666667,0.0,-1.0,-1.0
2010-02-04Butler,0.0,-0.18181818181818182,1.0,-1.0,-1.0
2010-02-04CS_Fullerton,-0.2,0.07692307692307693,0.0,1.0,-1.0
2010-02-04Cal_Poly,-0.4,-0.14285714285714285,0.0,-1.0,-1.0
2010-02-04Cal_St_Nrdge,-0.2,-0.058823529411764705,0.0,1.0,1.0
2010-02-04California,0.0,0.05263157894736842,0.0,-1.0,-1.0
2010-02-04Central_Mich,0.4,0.2857142857142857,1.0,1.0,1.0
2010-02-04Chattanooga,0.2,0.058823529411764705,0.0,-1.0,2.0
2010-02-04Cincinnati,-0.6,-0.3333333333333333,0.0,-1.0,-1.0
2010-02-04Citadel,0.0,0.17647058823529413,1.0,-1.0,1.0
2010-02-04Cleveland_St,-0.2,-0.29411764705882354,0.0,1.0,-2.0
2010-02-04Col_Charlestn,0.6,0.375,1.0,1.0,1.0
2010-02-04Detroit,0.2,0.3,0.0,1.0,-1.0
2010-02-04Duke,0.4,0.3,1.0,1.0,-1.0
2010-02-04E_Kentucky,-0.4,-0.05263157894736842,1.0,1.0,1.0
2010-02-04E_Michigan,-0.4,-0.17647058823529413,1.0,-1.0,1.0
2010-02-04Fla_Atlantic,0.4,0.17647058823529413,0.0,-1.0,3.0
2010-02-04Florida,0.0,0.125,0.0,1.0,2.0
2010-02-04Florida_Intl,-0.2,-0.1111111111111111,0.0,-1.0,-1.0
2010-02-04Florida_St,-0.4,-0.375,1.0,-1.0,1.0
2010-02-04Furman,0.2,0.0,1.0,1.0,2.0
2010-02-04GA_Southern,0.0,-0.1111111111111111,0.0,1.0,-1.0
2010-02-04GA_Tech,0.4,0.4666666666666667,0.0,-1.0,4.0
2010-02-04Gonzaga,0.0,0.0,1.0,1.0,-4.0
2010-02-04IL-Chicago,-0.2,0.0,1.0,-1.0,1.0
2010-02-04Indiana,0.2,-0.05263157894736842,1.0,1.0,1.0
2010-02-04Jksnville_St,0.0,0.125,0.0,-1.0,1.0
2010-02-04Kent_State,0.2,0.0,0.0,1.0,1.0
2010-02-04LA_Lafayette,0.0,-0.14285714285714285,1.0,1.0,3.0
2010-02-04LA_Monroe,0.0,-0.058823529411764705,1.0,1.0,-2.0
2010-02-04LA_Tech,0.2,0.17647058823529413,1.0,-1.0,-4.0
2010-02-04LSU,-0.6,-0.5294117647058824,1.0,1.0,-5.0
2010-02-04Lg_Beach_St,0.0,0.05263157894736842,1.0,-1.0,2.0
2010-02-04Loyola-Chi,0.0,0.0,1.0,1.0,-3.0
2010-02-04Maryland,0.2,0.06666666666666667,0.0,1.0,-1.0
2010-02-04Miami_(OH),0.4,0.14285714285714285,0.0,1.0,2.0
2010-02-04Middle_Tenn,0.0,0.0,1.0,-1.0,-1.0
2010-02-04Morehead_St,0.4,0.29411764705882354,1.0,1.0,-1.0
2010-02-04Murray_St,0.4,0.17647058823529413,1.0,-1.0,2.0
2010-02-04NC-Grnsboro,0.0,-0.15789473684210525,0.0,-1.0,1.0
2010-02-04N_Carolina,-0.4,-0.2222222222222222,0.0,-1.0,-1.0
2010-02-04New_Orleans,-0.2,-0.058823529411764705,1.0,-1.0,-4.0
2010-02-04North_Texas,0.4,0.3333333333333333,1.0,1.0,3.0
2010-02-04Notre_Dame,-0.2,-0.125,1.0,1.0,-4.0
2010-02-04Ohio,-0.4,-0.125,0.0,-1.0,-1.0
2010-02-04Oral_Roberts,-0.6,-0.6,0.0,-1.0,-3.0
2010-02-04Pacific,0.0,0.0,1.0,-1.0,3.0
2010-02-04Portland,0.4,0.375,0.0,-1.0,5.0
2010-02-04Purdue,-0.2,-0.1,0.0,-1.0,1.0
2010-02-04S_Alabama,0.0,-0.3,0.0,1.0,1.0
2010-02-04S_Utah,-0.3333333333333333,-0.3333333333333333,0.0,-1.0,1.0
2010-02-04Samford,-0.6,-0.29411764705882354,0.0,1.0,-3.0
2010-02-04San_Diego,-0.4,-0.1,1.0,-1.0,1.0
2010-02-04San_Fransco,0.0,-0.2631578947368421,0.0,1.0,1.0
2010-02-04San_Jose_St,0.4,0.2222222222222222,0.0,1.0,-1.0
2010-02-04Santa_Clara,-0.2,-0.15789473684210525,0.0,1.0,-1.0
2010-02-04St_Marys,0.4,0.5238095238095238,1.0,-1.0,3.0
2010-02-04Stanford,-0.2,-0.2222222222222222,0.0,1.0,-2.0
2010-02-04TN_Martin,-1.0,-0.875,1.0,1.0,-14.0
2010-02-04TN_State,0.0,-0.05263157894736842,0.0,1.0,-4.0
2010-02-04TN_Tech,0.4,0.125,0.0,-1.0,4.0
2010-02-04Tennessee,0.0,0.0,0.0,-1.0,-3.0
2010-02-04Toledo,-0.4,-0.2631578947368421,1.0,1.0,2.0
2010-02-04Troy,-0.2,-0.2631578947368421,0.0,1.0,-1.0
2010-02-04UCLA,0.2,0.05263157894736842,1.0,-1.0,1.0
2010-02-04UCSB,0.4,0.2222222222222222,0.0,1.0,-1.0
2010-02-04UC_Davis,0.2,0.06666666666666667,1.0,1.0,-1.0
2010-02-04UC_Riverside,-0.2,-0.25,1.0,-1.0,-2.0
2010-02-04USC,0.2,-0.05263157894736842,1.0,1.0,-2.0
2010-02-04VA_Tech,0.4,0.0,1.0,1.0,-1.0
2010-02-04Valparaiso,0.4,0.3333333333333333,1.0,1.0,5.0
2010-02-04W_Carolina,-0.2,0.125,1.0,-1.0,1.0
2010-02-04W_Kentucky,-0.2,-0.23809523809523808,0.0,-1.0,1.0
2010-02-04W_Michigan,0.2,0.058823529411764705,1.0,-1.0,2.0
2010-02-04Wash_State,-0.6,-0.3333333333333333,1.0,-1.0,-2.0
2010-02-04Washington,-0.4,-0.4,1.0,-1.0,1.0
2010-02-04Wright_State,0.0,0.05263157894736842,0.0,-1.0,3.0
2010-02-04Youngs_St,0.0,-0.14285714285714285,0.0,-1.0,1.0
2010-02-05Brown,-0.2,-0.2,0.0,-1.0,-3.0
2010-02-05Canisius,0.4,0.23809523809523808,0.0,-1.0,-1.0
2010-02-05Columbia,0.0,0.0,1.0,1.0,1.0
2010-02-05Coppin_State,-1.0,-1.0,1.0,-1.0,-1.0
2010-02-05Cornell,0.8,0.625,1.0,-1.0,7.0
2010-02-05Dartmouth,-0.5,-0.5,1.0,-1.0,-2.0
2010-02-05Fairfield,-0.4,-0.25,1.0,1.0,-1.0
2010-02-05Harvard,0.4,0.2727272727272727,1.0,-1.0,-1.0
2010-02-05Idaho_State,0.0,-0.1111111111111111,0.0,1.0,-1.0
2010-02-05Iona,0.6,0.29411764705882354,0.0,-1.0,1.0
2010-02-05Loyola-MD,-0.2,-0.06666666666666667,0.0,1.0,-2.0
2010-02-05Manhattan,-0.2,-0.1111111111111111,1.0,1.0,-1.0
2010-02-05Marist,-0.4,0.0,0.0,-1.0,2.0
2010-02-05Montana,-0.2,0.1,1.0,1.0,2.0
2010-02-05Montana_St,0.2,0.058823529411764705,1.0,-1.0,1.0
2010-02-05Niagara,-0.4,-0.30434782608695654,1.0,1.0,1.0
2010-02-05Portland_St,0.0,-0.058823529411764705,0.0,1.0,1.0
2010-02-05Princeton,0.4,0.4,0.0,1.0,5.0
2010-02-05Rider,0.0,-0.2,1.0,-1.0,1.0
2010-02-05Sac_State,0.6,0.5,1.0,-1.0,1.0
2010-02-05Siena,0.0,0.14285714285714285,1.0,1.0,-1.0
2010-02-05St_Peters,0.4,0.25,0.0,-1.0,1.0
2010-02-05U_Penn,-0.6,-0.6363636363636364,0.0,1.0,1.0
2010-02-05Weber_State,0.2,0.29411764705882354,0.0,-1.0,2.0
2010-02-05Yale,0.2,0.2727272727272727,0.0,1.0,-1.0
2010-02-06AR_Lit_Rock,-0.4,-0.29411764705882354,0.0,-1.0,1.0
2010-02-06Air_Force,0.0,0.06666666666666667,1.0,-1.0,-1.0
2010-02-06Akron,0.0,0.0,0.0,-1.0,-2.0
2010-02-06Alabama,-0.2,0.0,0.0,1.0,-1.0
2010-02-06App_State,0.0,0.0,0.0,1.0,-1.0
2010-02-06Arizona,0.6,0.2,0.0,-1.0,5.0
2010-02-06Arizona_St,0.2,-0.05263157894736842,0.0,-1.0,2.0
2010-02-06Arkansas,0.4,0.06666666666666667,1.0,-1.0,3.0
2010-02-06Arkansas_St,0.6,0.375,0.0,1.0,1.0
2010-02-06Auburn,0.0,-0.2,0.0,1.0,-1.0
2010-02-06Austin_Peay,0.0,0.09090909090909091,0.0,1.0,-1.0
2010-02-06BYU,0.2,0.14285714285714285,0.0,-1.0,1.0
2010-02-06Ball_State,0.4,0.17647058823529413,1.0,1.0,7.0
2010-02-06Baylor,0.6,0.5714285714285714,0.0,-1.0,2.0
2010-02-06Boise_State,-0.4,-0.3,1.0,-1.0,2.0
2010-02-06Boston_Col,-0.2,-0.1111111111111111,1.0,1.0,-1.0
2010-02-06Bowling_Grn,-0.2,-0.15789473684210525,0.0,1.0,-3.0
2010-02-06Bradley,-0.2,-0.23809523809523808,0.0,1.0,-4.0
2010-02-06Brown,-0.4,-0.2727272727272727,0.0,1.0,-4.0
2010-02-06Buffalo,0.0,0.0,0.0,-1.0,-2.0
2010-02-06Butler,-0.2,-0.21739130434782608,1.0,1.0,-2.0
2010-02-06CS_Fullerton,0.0,0.14285714285714285,1.0,-1.0,1.0
2010-02-06Cal_Poly,-0.4,-0.2,0.0,1.0,-2.0
2010-02-06Cal_St_Nrdge,0.0,0.0,0.0,-1.0,2.0
2010-02-06California,-0.2,0.0,0.0,1.0,-2.0
2010-02-06Central_Mich,0.4,0.3333333333333333,1.0,-1.0,2.0
2010-02-06Charlotte,-0.2,-0.058823529411764705,0.0,-1.0,-1.0
2010-02-06Chattanooga,0.0,0.0,0.0,1.0,-1.0
2010-02-06Citadel,0.0,0.1111111111111111,1.0,-1.0,-1.0
2010-02-06Clemson,0.0,0.05263157894736842,0.0,-1.0,1.0
2010-02-06Cleveland_St,-0.2,-0.2222222222222222,0.0,-1.0,1.0
2010-02-06Col_Charlestn,0.6,0.4117647058823529,1.0,1.0,2.0
2010-02-06Colorado,0.2,0.125,1.0,-1.0,4.0
2010-02-06Colorado_St,0.0,0.1,1.0,1.0,1.0
2010-02-06Columbia,0.14285714285714285,0.14285714285714285,1.0,-1.0,2.0
2010-02-06Connecticut,0.0,-0.2631578947368421,1.0,-1.0,-3.0
2010-02-06Cornell,0.6,0.5294117647058824,1.0,-1.0,-1.0
2010-02-06Creighton,0.0,-0.2,0.0,-1.0,1.0
2010-02-06Dartmouth,-0.5555555555555556,-0.5555555555555556,1.0,-1.0,-3.0
2010-02-06Davidson,-0.4,-0.2222222222222222,1.0,-1.0,-1.0
2010-02-06Dayton,0.2,0.1111111111111111,1.0,1.0,1.0
2010-02-06DePaul,0.2,0.17647058823529413,0.0,1.0,5.0
2010-02-06Denver,-0.6,-0.5294117647058824,1.0,1.0,-2.0
2010-02-06Detroit,0.4,0.3333333333333333,0.0,-1.0,1.0
